ID;Kapitek;Unterkapitel;Unterkapitel2;Frage;Typ;Aw;AnzR;richtig;grad;Hinweis1;Hinweis1;r4;flag
1;1;4;2;Welchen Planeten ähnelt die Venus größenmäßig am meisten;2;Mond+Mars+Erde+Merkur;1;3;1;"Sie ist nicht klein+aber auch nicht riesig+wenn man unseren Planeten als Maßstab nimmt ;-)";;;
2;1;4;2;Der wievielte Planet von der Sonne aus gesehen ist die Venus;2;der erste+der zweite+der dritte+der vierte+der fünfte+der sechste+der siebte+der achte;1;2;1;Sie ist zwischen den anderen Planetenlaufbahnen+Sie ist Nachbarin der Erde+..und des Merkurs;;;
3;1;4;3;Worin unterscheiden sich Venus und Erde sehr stark;3;In der Größe+In der chemischen Zusammensetzung+In der Masse+In der  Oberfläche;1;4;2;Als Körper gleicht sie der Erde+Ist auch ähnlich schwe+was bleibt, wenn sich die Körper gleichen ?;;;
4;1;4;3;Warum ist die Atmosphäre der Venus ist von außen völlig undurchsichtig;3;Wegen der Masse der Gashülle+Wegen der sehr hohen Dichte der Gashülle+Wegen der stets geschlossenen Wolkendecke;1;3;2;Die Athmossphäre ist in etwa so durchsichtig, wie die der Erde+Wenn die ganze Erde aus Nordeutschland bestünde, hätten wir das gleich Problem :-));;;
5;1;4;3;Wie hoch ist die Albedo der Venus;2;0,76+0,39+1,22+0,01+0,33+3,8;1;1;3;Albedo gibt den Prozentanteil an relektiertem Licht (hier von unserer Sonne) an+..und ist somit kleiner als 1 !+Manchmal ist die erstbeste Antwort nicht schlecht;;;
6;1;4;4;Welche Farbe hat der Boden der Venus;2;braungelb-gestreift+schwarzrot gepunktet+lilarosa geblümt+dunkelrotglühend;1;4;1;"Einige Antworten sind albern :-)+Sie ist einheitlich gefärbt+Man würde es nicht denken, da sie ja ein ""Morgenplanet"" ist ";;;
7;1;4;4;Gibt es Wasser auf der Venus;2;ja+nein;1;2;1;"Gibt es Bier auf Hawai ???...+..wenn man dem bekannten Lied glaubt+..fliegen Sie also lieber nicht zur Venus ;-)";;;
8;1;4;4;Warum gibt es kein Wasser auf der Venus;2;Wegen der fehlenden Athmosspäre+Wegen der hohen Temperaturen+Es gibt doch Wasser auf der Venus;1;2;2;Sie ist viel näher an der Sonne, als wir+..und die Sonne ist heiß!!;;;
9;1;4;5;Die Hochebene Aphrodite Terra auf der Venus hat in etwa die Größe von ;3;Helgoland+Deutschland+Südamerika+Russland+USA;1;3;3;Sie ist SEHR groß+Größer als Europa+Wäre sie nicht auf der Venus, könnte man dort Karneval feiern;;;
10;1;4;5;Wie heißt die umfangreichere von beiden Hochlagen auf der Venus;1;Aphrodite Terra;1;1;3;Eine Namenskombination aus dem Namen einer Göttin der Antike und dem lateinischen Ausdruck für die Erde+Lesen Sie lieber nochmal nach :-);;;
11;1;4;4;Wie heißt der Einschlagkrater der mit einem Durchmesser von 104 km die achtgrößte Impaktstruktur auf der Venus darstellt;1;Cleopatra;1;1;3;So hieß eine altägyptische Herrscherin+Sie hatte eine unglaublich süße Nase;;;
12;1;4;5;Welche geografischen Gebilde befinden sich auf der Venus;3;Mount Everest+Cleopatra+Aphrodite Terra+Anden+Rocky Mountains;2;2+3;2;Mehrere Antworten sind richtig+Beide Begriffe haben Namensentsprechungen in der antiken Vorzeit+Berge der Erde befinden sich nicht auf der Venus;;;
13;1;4;5;Wie heißt der mit Abstand größte Venuskrater;1;Mead;1;1;3;Ein Begriff mit 4 Buchstaben+Klingt fast wie englisches Fleisch;;;
14;1;4;5;Welchen Durchmesser hat der mit Abstand größte Venuskrater;3;110 km+220 km+280 km+280.000m+110.00 km;2;3+4;3;Zwei Antworten sind richtig+Es sind identische Antworten nur unterschiedlich ausgedrückt;;;
15;1;4;9;Wie heißen die Monde der Venus;2;Merkur+Neith+Jochen Meier+Die Venus hat keinen;1;4;1;Achtung ! Spaßfrage+Sie hat genau einen Mond weniger, als die Erde :-);;;
16;1;4;5;Was sind die charakteristischsten Gebilde auf der Venus;3;Logopädiden+Coronae+ Arachnoiden+Hypogälide+Epikatarsis;2;2+3;2;"Zwei richtige Antworten!+Der eine Begriff hat was miit ""Spinnen"" zu tun+der andere mit ""Kronen"""
17;1;4;5;Wie heißen die prominentesten Lavabergen auf derVenus;3;Happy kadaver+Sif Mons+Mons Shi Shi+Gula Mons+Eistla Regio;2;2+5;3;Zwei richtige Antworten!+Okay, diese Frage ist wirklich schwer, lesen Sie lieber nochmal das Kapitel über die Einschlagkrater
18;1;4;6;Wie heißen die sehr regelmäßig aufgebauten, kreisrunden, vulkanischen Oberflächenstrukturen der Venus;3;Pfannkuchenkuppeln+Apfeltaschengipfel+Pancake Domes+Schnipfeldapfelzipfel;2;1+3;2;Zwei richtige Antworten!+Beide Antworten sind identisch aber in unterschiedlicher Sprache geschrieben+den ersten Teil des Begriffs macht man in der Pfanne als Gericht zurecht
19;1;4;6;Welche Bezeichnung tragen die verhältnismäßig steilwandigen Täler, ähnlich einem Canyon;1;Chasma;1;1;3;So ähnlich wie Charisma, nur kürzer+lassen Sie nur eine Silbe von Charisma weg+und zwar die zweite!
20;1;4;6;Wie sind die Windgeschwindigkeiten, die am Boden gemessen wurden;2;voll normal+heftig,heftig+heftig+megaheftig+gering;1;5;1;Ist nicht wirklich stark+Ist nicht mal wirklich erwähnenswert+Ist eher lau!
21;1;3;2;Warum ist der Merkur von der Erde aus nur schwer zu beobachten;2;Man kann ihn sehr wohl gut beobachten+Wegen seiner Sonnennähe+Weil er so klein ist;1;2;1;Den Pluto hat man ja wohl auch gefunden…+Er ist wirklich schwer zu sehen+..ist n bissi HELL in seiner Nähe
22;1;3;2;Der wievielte Planet von der Sonne aus gesehen ist der Merkur;2;der erste+der zweite+der dritte+der vierte+der fünfte+der sechste+der siebte+der achte;1;1;1;Er ist verdammt nah an der Sonne+näher dürfte es wirklich nicht sein
23;1;5;2;Der wievielte Planet von der Sonne aus gesehen ist die Erde;2;der erste+der zweite+der dritte+der vierte+der fünfte+der sechste+der siebte+der achte;1;3;1;Wir sind zwischen Venus und Mars+nach Merkur kommt Venus, dann kommen wir
24;1;6;2;Der wievielte Planet von der Sonne aus gesehen ist der Mars;2;der erste+der zweite+der dritte+der vierte+der fünfte+der sechste+der siebte+der achte;1;4;1;Ist Nachbar der Erde+..kommt gleich nach uns
25;1;7;2;Der wievielte Planet von der Sonne aus gesehen ist die Jupiter;2;der erste+der zweite+der dritte+der vierte+der fünfte+der sechste+der siebte+der achte;1;5;1;Er kommt nach dem Mars+ aber vor dem Saturn
26;1;8;2;Der wievielte Planet von der Sonne aus gesehen ist die Saturn;2;der erste+der zweite+der dritte+der vierte+der fünfte+der sechste+der siebte+der achte;1;6;1;Er kommt nach dem Jupiter+ aber vor dem Uranus
27;1;9;2;Der wievielte Planet von der Sonne aus gesehen ist die Uranus;2;der erste+der zweite+der dritte+der vierte+der fünfte+der sechste+der siebte+der achte;1;7;1;Er kommt nach dem Saturn+ aber vor dem Neptun
28;1;10;2;Der wievielte Planet von der Sonne aus gesehen ist die Neptun;2;der erste+der zweite+der dritte+der vierte+der fünfte+der sechste+der siebte+der achte;1;8;1;Er kommt nach dem Uranus+ aber vor dem Pluto+Pluto wird nicht mehr als Plantet gesehen
29;1;5;3;Wie hoch ist die Albedo der Erde;2;0,76+0,39+1,22+0,01+0,33+3,8;1;2;3;Albedo gibt den Prozentanteil an relektiertem Licht (hier von unserer Sonne) an+..und ist somit kleiner als 1 !+Manchmal ist die zweitbeste Antwort nicht schlecht
30;1;6;2;Gibt es Wasser auf dem Mars;2;ja+nein;1;2;1;"Gibt es Bier auf Hawai ???...+..wenn man dem bekannten Lied glaubt+..fliegen Sie also lieber nicht zum Mars ;-)"
